District ,Mandal,GP,female,male,transgender
RANGA REDDY,MEDCHAL,ATEVELLE,1,0,0
RANGA REDDY,MEDCHAL,BANDAMADHARAM,169,84,0
RANGA REDDY,MEDCHAL,DABILPUR,1079,664,5
RANGA REDDY,MEDCHAL,GIRMAPUR,393,228,1
RANGA REDDY,MEDCHAL,GOUDAVELLY,789,452,5
RANGA REDDY,MEDCHAL,GUNDLAPOCHAMPALLE,1394,938,5
RANGA REDDY,MEDCHAL,KANDLAKOYA,561,350,0
RANGA REDDY,MEDCHAL,MEDCHAL,38,18,0
RANGA REDDY,MEDCHAL,MUNEERABAD,325,200,1
RANGA REDDY,MEDCHAL,NUTHANKAL,556,332,1
RANGA REDDY,MEDCHAL,PUDOOR,768,451,1
RANGA REDDY,MEDCHAL,RAJABOLLARAM,787,535,3
RANGA REDDY,MEDCHAL,RAVALKOLE,1160,789,7
RANGA REDDY,MEDCHAL,RAYALAPUR,236,133,1
RANGA REDDY,MEDCHAL,SOMARAM,178,133,0
RANGA REDDY,MEDCHAL,SREERANGAVARAM,582,277,1
RANGA REDDY,MEDCHAL,YADARAM,313,196,0
RANGA REDDY,MEDCHAL,YELLAMPET,413,237,2
