NIC code,Division Description,Group Description,Reg.No,Name of the factory,H.P.,Men,Women,Total,Max. Empt.,Ave. Empt.
10612,Manufacture of food products,Manufacture of grain mill products,62375,Sri Balaji Rice Mill,74,6,0,6,9,6
21004,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,62722,Shantha Bio Technics Pvt. Ltd.,7130,1090,20,1110,1500,1110
10612,Manufacture of food products,Manufacture of grain mill products,62892,Sri Sreenivas Rice Mill,74,8,0,8,9,8
24202,Manufacture of basic metals,Manufacture of basic precious and other non-ferrous metals,67739,O&S Ratna Al.Fabrication Pvt. Ltd.,20,30,0,30,50,30
24105,Manufacture of basic metals,Manufacture of basic iron and steel,67998,BS Ltd.,612,101,0,101,150,101
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97329,Sri Sai Seeds,28,8,4,12,20,12
22202,Manufacture of rubber and plastics products,Manufacture of plastics products,97687,"Padmaja Poly Pack Pvt.Ltd,",835,80,5,85,100,85
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,97717,Gubba Cold Storage Ltd.,483,32,0,32,50,32
10309,Manufacture of food products,Processing and preserving of fruit and vegetables,97719,Gubba Green Cold Pvt. Ltd.,213.5,33,0,33,50,33
8106,Other mining and quarrying,Quarrying of stone,67746,IJM Concrete Products Pvt. Ltd.,950,60,0,60,100,60
24319,Manufacture of basic metals,Casting of metals,67431,Sri Sai Castings,18,10,2,12,20,12
23919,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,97561,Navayuga Infratech (I) Pvt. Ltd.,97,16,3,19,20,19
21006,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,97023,Oyster Medisafe Pvt. Ltd.,1763,220,40,260,500,260
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97810,Aditya Seeds ,148.5,40,10,50,50,50
13111,Manufacture of textiles,Spinning,97084,Srinath Spinners Ltd.,1745.3,148,2,150,150,150
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,97179,Welset Polypack (P) Ltd.,793,19,2,21,50,21
23960,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,97653,Sri Krishna Stones,134,15,0,15,20,15
10802,Manufacture of food products,Manufacture of prepared animal feeds,97767,JBR Breeders Pvt. Ltd.,274,12,0,12,20,12
8106,Other mining and quarrying,Quarrying of stone,97223,Robo Silicon Ltd.,1037,28,0,28,50,28
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67702,Vibha Agrotech Ltd.,461,119,2,121,150,121
25999,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,67903,Megha Engg & Infrastructurers Ltd.,11969.2,256,0,256,500,256
24320,Manufacture of basic metals,Casting of metals,97369,Saaketh Iron Inds. Pvt. Ltd.,120,14,2,16,20,16
24320,Manufacture of basic metals,Casting of metals,97581,Perfect Die Cast,177,19,1,20,50,20
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97833,HM Clause India Pvt.Ltd,240,38,0,38,50,38
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97915,Seedworks International Pvt. Ltd.,30,11,0,11,20,11
23955,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,62211,Bhooratnam Construction Co. Pvt. Ltd.,50,12,0,12,20,12
23999,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,62457,Navadurga Minerals Inds. Ltd.,125,40,0,40,50,40
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,62610,Sri Ram Bioseed Genetics,835,256,20,276,500,276
23954,Manufacture of other non-metallic mineral products,Manufacture of non-metallic mineral products n.e.c.,62928,Sri KPR Industries Ltd,1287,140,20,160,250,160
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67057,Yaganti Seeds Pvt. Ltd.,140,100,0,100,100,100
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,67227,Kartik Exports,39,55,5,60,100,60
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,67245,Chermas Exquisits Ltd,610,50,50,100,50,100
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67297,Venkateswara Seed Tech,100,75,0,75,100,75
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67298,Raji Seeds Form,88,26,0,26,50,26
21003,Manufacture of pharmaceuticals,Manufacture of pharmaceuticals,67380,Alkaloids Pvt. Ltd. - I,280,24,0,24,100,24
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67461,Shaila Investment & Financial Consultants Pvt. Ltd.,150,13,44,57,100,57
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67492,Chaitanya Seeds (P) Ltd.,176,60,20,80,100,80
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67493,Zuari Agri Sciences Ltd.,100,125,15,140,150,140
16101,Manufacture of wood and products of wood and cork,Sawmilling and planing of wood,67497,Satyam Timbers,143,17,0,17,20,17
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,67507,Helsa Icon India Pvt. Ltd.,10,12,0,12,20,12
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,67508,Racherla Garments Pvt Ltd,78,35,75,110,150,110
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,67627,Hindusthan Apparel Industries,258.5,75,182,257,500,257
25920,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,67672,Integrated Cleanroom Technologies,84,65,0,65,100,65
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,67708,Symatic Engg. Pvt. Ltd.,74,15,0,15,50,15
20219,Manufacture of chemicals and chemical products,Manufacture of other chemical products,67717,Kaveri MicroTeck Pvt.Ltd,397.83,130,10,140,150,140
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,67741,Pokarna Ltd.,760,325,25,350,500,350
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67753,Kaveri Seed Company Pvt. Ltd.,63,60,25,85,100,85
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,67755,Chaitanya Agri-Tech,195,6,28,34,50,34
18119,Printing and reproduction of recorded media,Printing and service activities related to printing,67776,GMG Pack Aids Pvt. Ltd.,41,23,6,29,50,29
13122,Manufacture of textiles,Spinning,67914,Kolour Spintek Ltd.,167,13,3,16,20,16
18119,Printing and reproduction of recorded media,Printing and service activities related to printing,97059,Stay On Papers Pvt. Ltd.,135,21,0,21,50,21
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,97060,RK Apparel Fashions Pvt. Ltd.,250,57,45,102,150,102
24103,Manufacture of basic metals,Manufacture of basic iron and steel,97101,Somani Ispat Pvt. Ltd.,144,23,0,23,50,23
25999,Manufacture of fabricated metal products,Manufacture of other fabricated metal products; metalworking service,97143,Integrated Cleanroom Technologies  Pvt. Ltd.,412,375,0,375,500,375
24202,Manufacture of basic metals,Manufacture of basic precious and other non-ferrous metals,97144,Aryan Extrusion India Ltd.,250,38,0,38,50,38
17011,Manufacture of paper and paper products,Manufacture of paper and paper products,29621,C.N. Paper Products ,72,20,10,30,50,30
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,97221,Kesari Fibres Pvt. Ltd,42,18,5,23,50,23
18119,Printing and reproduction of recorded media,Printing and service activities related to printing,97225,Singhania Offset Printers Pvt. Ltd.,461,60,20,80,100,80
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97246,Jam Jam Agritech,95,42,11,53,100,53
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97296,JK Agri Genetics Ltd.,663,120,15,135,250,135
14101,Manufacture of wearing apparel,Manufacture of wearing apparel,97368,E-Yantra Industries Ltd.,36,40,25,65,100,65
22203,Manufacture of rubber and plastics products,Manufacture of plastics products,97371,Sri Krishna Polypack Pvt. Ltd.,435.3,35,16,51,100,51
24320,Manufacture of basic metals,Casting of metals,97372,C2P Engg. Solutions Pvt. Ltd.,104,18,12,30,100,30
27400,Manufacture of electrical equipment,Manufacture of electric lighting equipment,97399,Fortune Art LED Lighting Pvt. Ltd.,232,122,0,122,150,122
1640,Crop and animal production,Support activities to agriculture and post-harvest crop activities,97407,VNR Seeds Pvt. Ltd.,90,7,8,15,20,15
13934,Manufacture of textiles,Manufacture of other textiles,97439,Davinci Jacquard Fabrics (I) Pvt. Ltd.,150,10,0,10,20,10
